027C ldaps
027D lanserver
027E mcns-sec
027F msdp
0280 entrust-sps
0281 repcmd
0282 esro-emsdp
0283 sanity
0284 dwr
0285 pssc
0286 ldp
0287 dhcp-failover
0288 rrp
0289 aminet
028A obex
028B ieee-mms
028C udlr-dtcp
028D repscmd
028E aodv
028F tinc
0290 spmp
0291 rmc
0292 tenfold
0293 url-rendezvous
0294 mac-srvr-admin
0295 hap
0296 pftp
0297 purenoise
0298 secure-aux-bus
0299 sun-dr
029A doom
029B disclose
029C mecomm
029D meregister
029E vacdsm-sws
029F vacdsm-app
02A0 vpps-qua
02A1 cimplex
02A2 acap
02A3 dctp
02A4 vpps-via
02A5 vpp
02A6 ggf-ncp
02A7 mrm
02A8 entrust-aaas
02A9 entrust-aams
02AA xfr
02AB corba-iiop
02AC corba-iiop-ssl
02AD mdc-portmapper
02AE hcp-wismar
02AF asipregistry
02B0 realm-rusd
02B1 nmap
02B2 vatp
02B3 msexch-routing
02B4 hyperwave-isp
02B5 connendp
02B6 ha-cluster
02B7 ieee-mms-ssl
02B8 rushd
02B9 uuidgen
02BA olsr
02BB accessnetwork
02C0 elcsd
02C1 agentx
02C2 silc
02C3 borland-dsj
02C5 entrust-kmsh
02C6 entrust-ash
02C7 cisco-tdp
02D9 netviewdm1
02DA netviewdm2
02DB netviewdm3
02E1 sometimes-rpc2
02E4 netcp
02E5 netgw
02E6 netrcs
02E8 flexlm
02EB fujitsu-dev
02EC ris-cm
02ED kerberos-adm
02EE kerberos-iv
02F2 tell
02FF phonebook
0309 multiling-http
030D hp-collector
030E hp-managed-node
030F hp-alarm-mgr
0312 concert
0313 qsc
0320 mdbs_daemon
032A fcp-udp
033C itm-mcell-s
033D pkix-3-ca-ra
034F dhcp-failover2
0369 rsync
0376 iclcnet-locate
0377 iclcnet_svinfo
0378 accessbuilder
0384 omginitialrefs
0385 smpnameres
0386 ideafarm-chat
0387 ideafarm-catch
038F xact-backup
03DD ftps-data
03DE ftps
03DF nas
03E0 telnets
03E1 imaps
03E2 ircs
03E3 pop3s
03E4 vsinet
03E7 applix
03F0 ufsd
03F2 surf
03F4 sometimes-rpc1
0401 blackjack
0406 iad1
0407 iad2
0408 iad3
0417 neod1
0418 neod2
0419 td-postman
041A cma
041B optima-vnet
041C ddt
041D remote-as
041E brvread
041F ansyslmd
0420 vfo
0421 startron
0422 nim
0423 nimreg
0424 polestar
0425 kiosk
0426 veracity
0427 kyoceranetdev
0428 jstel
0429 syscomlan
042A fpo-fns
042B instl_boots
042C instl_bootc
042D cognex-insight
042E gmrupdateserv
042F bsquare-voip
0430 cardax
0431 bridgecontrol
0432 fastechnologlm
0433 rdrmshc
0434 dab-sti-c
0435 imgames
0436 emanagecstp
0437 asprovatalk
0438 socks
0439 pvuniwien
043A amt-esd-prot
043B ansoft-lm-1
043C ansoft-lm-2
043D webobjects
043E cplscrambler-lg
